Equipment ID,PD Average,PD Count,Temperature,Humidity,Loading
8650,302.15,2,29.3,66.1,5
8651,299.56,6,29.3,66.1,5
8657,270.12,5,29.3,66.1,10
8658,236.6,4,29.3,66.1,10
8660,291.14,3,29.3,66.1,5
8661,214.22,2,29.3,66.1,5
8662,292.95,8,29.3,66.1,5
8663,234.9,1,29.3,66.1,5
8664,412.05,1,30.9,63,900
8665,175.84,3,30.9,63,900
8666,288.84,15,30.9,63,800
8667,208.21,5,30.9,63,800
8668,253.68,20,30.9,63,500
8669,226.83,6,30.9,63,500
8670,308.94,6,30.9,63,10
8671,227.91,7,30.9,63,10
8731,423.82,6,29.9,67.9,10
8732,406.07,6,29.9,67.9,10
8733,438.83,4,29.9,67.9,0
8734,372.61,10,29.9,67.9,0
8735,588.74,8,29.9,67.9,52
8736,414.32,6,29.9,67.9,52
8740,264.07,3,30.2,67.1,0
8737,422.71,8,29.9,67.9,52
8738,373.12,5,29.9,67.9,52
8739,274.59,8,30.2,67.1,0
8723,84.35,2,32,61.7,18
8724,84.32,16,32,61.7,18
8745,266.26,3,32,61.7,12
8746,78.89,18,32,61.7,12
8707,98.9,8,32,61.7,1.2
8795,189.92,3,34.2,52.1,1.3
8796,149.27,16,34.2,52.1,1.3
8701,100,16,30.6,56.7,204
8702,90.88,21,30.6,56.7,204
8705,147.47,4,30.6,56.7,10
8706,85.48,11,30.6,56.7,10
8695,97.35,13,30.6,56.7,43
8696,81.63,22,30.6,56.7,43
8699,51.62,7,30.6,56.7,51
8700,87.47,11,30.6,56.7,51
8843,293.53,8,30.4,66,1
8844,133.71,7,30.4,66,1
8708,88.95,14,32,61.7,1.2
8713,140.2,1,32,61.7,11
8714,84.27,11,32,61.7,11
8793,136.63,16,34.2,52.1,1.4
8794,137.93,19,34.2,52.1,1.4
8805,157.8,21,34.2,52.1,10
8806,93.44,21,34.2,52.1,10
8807,133.26,4,34.2,52.1,1.6
8808,115.6,21,34.2,52.1,1.6
8809,119.91,15,34.2,52.1,4.8
8810,101.02,9,34.2,52.1,4.8
8811,232.35,9,34.2,52.1,2.6
8812,78.51,1,34.2,52.1,2.6
8813,116.37,15,34.2,52.1,5
8814,115.19,3,34.2,52.1,5
8797,240.25,9,34.2,52.1,3
8798,100.22,18,34.2,52.1,3
8799,149.94,24,34.2,52.1,9
8800,169.75,4,34.2,52.1,9
8801,161.97,8,34.2,52.1,28
8802,112.34,23,34.2,52.1,28
8817,179.51,4,30,69.3,1.8
8818,90.6,3,30,69.3,1.8
8829,109.2,12,30,69.3,5
8830,84.88,16,30,69.3,5
8833,120.84,18,30,69.3,16
8834,101.52,9,30,69.3,16
8835,115.29,14,30,69.3,3
8836,114.99,13,30,69.3,3
8839,109.11,6,30,69.3,5
8840,115.46,6,30,69.3,5
8841,115.28,7,30,69.3,2
8842,117.24,26,30,69.3,2
8819,180.05,5,30,69.3,1
8820,94.36,24,30,69.3,1
8821,177.49,7,30,69.3,1
8822,97.63,26,30,69.3,1
8823,191.84,6,30,69.3,1
8824,91.43,21,30,69.3,1
8825,181.74,3,30,69.3,30
8826,109.37,14,30,69.3,30
8827,120.87,19,30,69.3,6
8828,96.81,10,30,69.3,6
8687,87.47,22,30.6,56.7,74
8688,87.55,8,30.6,56.7,74
8689,99.7,16,30.6,56.7,0
8690,88.36,17,30.6,56.7,0
8693,114.66,19,30.6,56.7,21
8694,92.49,23,30.6,56.7,21
8749,95.13,12,32,61.7,5
8750,86.94,3,32,61.7,5
8751,117.56,18,32,61.7,4
8752,95.17,9,32,61.7,4
8757,110.22,9,32,61.7,51
8758,87.93,2,32,61.7,51
8709,85.37,13,32,61.7,9
8710,87.32,12,32,61.7,9
